Sample	Spectrum
702	770.5023
703	1451.998
704	1876.5
705	2064.002
706	1546.005
707	969.9996
708	558.0011
709	290.4982
710	323.0002
711	502.501
712	392.498
713	372.4982
714	401.499
715	338.9984
716	382.9979
717	493.0013
718	3463.995
719	16728.99
720	28438
721	33053.5
722	29967
723	15298.51
724	4348.997
725	1138.995
726	426.9998
727	411.4984
728	373.0009
729	296.0001
730	277
731	294.9968
732	352.4983
733	307.0021
734	355.0024
735	311.5018
736	358.4988
737	302.9982
738	176.9966
739	38.99774
740	38.99774
