Sample        Spectrum      Background    Delta
 399          -56.50409     -8            -49 
 400          -111.4966     -8            -104 
 401          -61.50305     -8            -54 
 402          -77.99899     -8            -71 
 403          -23.50333     -8            -16 
 404          -22.00009     -8            -15 
 405           9.498077     -8             17 
 406          -82.49438     -8            -75 
 407          -36.50281     -8            -29 
 408          -70.99789     -8            -64 
 409          -48.50137     -8            -41 
 410          -91.99734     -8            -85 
 411          -82.00061     -8            -75 
 412          -90.49948     -8            -83 
 413          -57.50201     -8            -50 
 414          -99.49744     -8            -92 
 415          -125.9984     -8            -119 
 416          -103.5014     -8            -96 
 417          -133.9981     -8            -127 
 418          -82.50314     -8            -75 
 419          -214.4919     -8            -207 
 420          -124.0055     -8            -117 
 421          -175.4969     -8            -168 
 422          -97.50476     -8            -90 
 423          -122.4985     -8            -115 
 424          -125.9998     -8            -119 
 425          -91.50211     -8            -84 
 426          -143.9968     -8            -137 
 427          -103.5025     -8            -96 
 428          -130.9983     -8            -124 
 429          -148.9989     -8            -142 
 430          -34.00702     -8            -27 
 431          -204.4896     -8            -197 
 432          -140.0039     -8            -133 
 433          -94.50278     -8            -87 
 434          -135.4975     -8            -128 
 435          -114.0013     -8            -107 
 436          -83.00189     -8            -76 
 437          -74.50052     -8            -67 
 438          -112.9977     -8            -106 
 439          -114.4999     -8            -107 
 440          -25.50543     -8            -18 
 441          -54.9982      -8            -48 
 442          -99.49728     -8            -92 
 443          -82.50104     -8            -75 
 444          -77.00034     -8            -70 
 445          -27.00305     -8            -20 
 446          -44.9989      -8            -38 
 447          -91.49716     -8            -84 
 448           16.99338     -8             24 
 449          -57.99542     -8            -51 
 450          -66.99945     -8            -60 
 451          -93.99835     -8            -87 
 452          -57.00226     -8            -50 
 453          -105.997      -8            -99 
 454           12.99274     -8             20 
 455          -6.49881      -8             1 
 456          -62.49658     -8            -55 
 457          -96.99789     -8            -90 
 458          -142.9972     -8            -136 
 459          -69.00452     -8            -62 
 460          -93.99847     -8            -87 
 461          -151.9965     -8            -145 
 462          -101.0031     -8            -94 
 463          -168.4959     -8            -161 
 464          -77.50555     -8            -70 
 465          -94.49896     -8            -87 
 466          -122.4983     -8            -115 
 467          -96.50159     -8            -89 
 468          -247.9908     -8            -241 
 469          -141.5065     -8            -134 
 470          -130.5007     -8            -123 
 471          -94.5022      -8            -87 
 472          -135.4975     -8            -128 
 473          -165.4982     -8            -158 
 474          -183.4989     -8            -176 
 475          -80.50629     -8            -73 
 476          -119.9976     -8            -113 
 477          -88.50192     -8            -81 
 478          -138.9969     -8            -132 
 479          -60.00482     -8            -53 
 480          -132.4956     -8            -125 
 481          -105.0017     -8            -98 
 482          -37.50412     -8            -30 
 483          -21.00101     -8            -14 
 484          -147.9922     -8            -141 
 485          -135.5008     -8            -128 
 486          -75.00369     -8            -68 
 487          -34.0025      -8            -27 
 488          -111.4953     -8            -104 
 489          -147.4978     -8            -140 
 490          -99.00296     -8            -92 
 491          -146.4971     -8            -139 
 492          -181.9978     -8            -175 
 493          -112.5042     -8            -105 
 494          -78.50208     -8            -71 
 495          -134.4966     -8            -127 
 496          -203.9958     -8            -197 
 497          -176.5017     -8            -169 
 498          -210.4979     -8            -203 
 499          -177.002      -8            -170 
 500          -214.9977     -8            -208 
 501          -127.5053     -8            -120 
 502          -76.50311     -8            -69 
 503          -102.4984     -8            -95 
 504          -153.9969     -8            -147 
 505          -96.00354     -8            -89 
 506          -30.504       -8            -23 
 507          -78.49707     -8            -71 
 508          -155.4953     -8            -148 
 509          -183.9983     -8            -177 
 510          -135.503      -8            -128 
 511          -128.0005     -8            -121 
 512          -94.00208     -8            -87 
 513          -62.00195     -8            -55 
 514          -108.9971     -8            -102 
 515          -12.00592     -8            -5 
 516          -94.99493     -8            -88 
 517          -1.005737     -8             6 
 518          -17.99896     -8            -11 
 519          -167.4909     -8            -160 
 520          -58.50665     -8            -51 
 521          -144.9947     -8            -138 
 522          -151.4996     -8            -144 
 523          -160.9994     -8            -154 
 524          -121.0024     -8            -114 
 525          -89.00195     -8            -82 
 526          -159.9957     -8            -153 
 527          -134.5016     -8            -127 
 528          -58.50464     -8            -51 
 529          -101.0006     -8            -94 
 530          -118.4971     -8            -111 
 531          -131.4968     -8            -124 
 532          -175.9983     -8            -169 
 533          -116.5016     -8            -109 
 534          -243.9906     -8            -237 
 535          -149.5047     -8            -142 
 536          -54.50659     -8            -47 
 537          -127.4948     -8            -120 
 538          -187.4958     -8            -180 
 539          -153.5013     -8            -146 
 540          -139.0023     -8            -132 
