Sample	Spectrum	Background	Delta										Helium			Argon	
213	3555.557	182	3373.557														
214	3473.002	182	3291.002														
215	3460	182	3278														
216	3441.5	182	3259.5														
217	3443	182	3261														
218	3473.499	182	3291.499														
219	3597.497	182	3415.497														
220	3502.503	182	3320.503														
221	3702.493	182	3520.493														
222	3878.494	182	3696.494														
223	11063.28	182	10881.28														
224	40699.59	182	40517.59														
225	47886.77	182	47704.77														
226	48164.5	182	47982.5														
227	37912.31	182	37730.31														
228	8924	182	8742														
229	4531.5	182	4349.5														
230	20621	182	20439														
231	130148.5	182	129966.5														
232	171952	182	171770														
233	173852.5	182	173670.5														
234	151331.5	182	151149.5														
235	37293.5	182	37111.5														
236	9394	182	9212														
237	6165	182	5983														
238	4448	182	4266														
239	4157.5	182	3975.5														
240	4263	182	4081														
241	4077	182	3895														
242	4215	182	4033														
243	4147.5	182	3965.5														
244	4325	182	4143														
245	4226.5	182	4044.5														
246	4500.5	182	4318.5														
247	4184	182	4002														
248	4349.5	182	4167.5														
249	4321.5	182	4139.5														
250	4440	182	4258														
251	4430.5	182	4248.5														
252	4535	182	4353														
253	4606	182	4424														
254	4647.5	182	4465.5														
255	4700.5	182	4518.5														
256	4791.5	182	4609.5														
257	4924.5	182	4742.5														
258	4826.5	182	4644.5														
259	4945	182	4763														
260	5074	182	4892														
261	5096	182	4914														
262	5148.5	182	4966.5														
263	5305	182	5123														
264	5400	182	5218														
265	5414	182	5232														
266	5453.5	182	5271.5														
267	5647.5	182	5465.5														
268	5651	182	5469														
269	5920.5	182	5738.5														
270	6118	182	5936														
271	6266	182	6084														
272	6240	182	6058														
273	6483	182	6301														
274	6601.5	182	6419.5														
275	6414	182	6232														
276	6507.5	182	6325.5														
277	6856.5	182	6674.5														
278	6721	182	6539														
279	7107	182	6925														
280	7376.5	182	7194.5														
281	7062.5	182	6880.5														
282	7297	182	7115														
283	7328	182	7146														
284	8023.5	182	7841.5														
285	8933	182	8751														
286	9290.5	182	9108.5														
287	9574	182	9392														
288	9483	182	9301														
289	9160	182	8978														
290	9377	182	9195														
291	9517.5	182	9335.5														
292	9861.5	182	9679.5														
293	10215.5	182	10033.5														
294	20527.5	182	20345.5														
295	340337	182	340155														
296	2125241	182	2125059														
297	2600701	182	2600519														
298	2599948	182	2599766														
299	2082656	182	2082474														
300	330094.5	182	329912.5														
301	26583	182	26401														
302	13654.5	182	13472.5														
303	13031.5	182	12849.5														
304	12130.5	182	11948.5														
305	11762	182	11580														
306	11276	182	11094														
307	10795.5	182	10613.5														
308	10786.5	182	10604.5														
309	10871	182	10689														
310	10803	182	10621														
311	10843	182	10661														
312	10637	182	10455														
313	10597	182	10415														
314	10606.5	182	10424.5														
315	10506	182	10324														
316	10679	182	10497														
317	10566	182	10384														
318	10911	182	10729														
319	10710	182	10528														
320	10556.5	182	10374.5														
321	10858.5	182	10676.5														
322	11019.5	182	10837.5														
323	10957.5	182	10775.5														
324	11279	182	11097														
325	11215	182	11033														
326	11291	182	11109														
327	11377.5	182	11195.5														
328	11445	182	11263														
329	11753	182	11571														
330	11976	182	11794														
331	11995	182	11813														
332	12020.5	182	11838.5														
333	12170.5	182	11988.5														
334	12532	182	12350														
335	13037	182	12855														
336	13431	182	13249														
337	13878.5	182	13696.5														
338	14150	182	13968														
339	13708	182	13526														
340	13374.5	182	13192.5														
341	13399.5	182	13217.5														
342	13734.5	182	13552.5														
343	13623.5	182	13441.5														
344	13883	182	13701														
345	14062	182	13880														
346	14040.5	182	13858.5														
347	14229.5	182	14047.5														
