Sample        Spectrum      Background    Delta
 357           270465.5      182           270282 
 358           265381.5      182           265198 
 359           154112        182           153929 
 360           15791         182           15608 
 361           6415          182           6232 
 362           6023          182           5840 
 363           5940          182           5757 
 364           6045          182           5862 
 365           5692          182           5509 
 366           5875          182           5692 
 367           6041          182           5858 
 368           5877.5        182           5694 
 369           5965          182           5782 
 370           6275          182           6092 
 371           6419.5        182           6236 
 372           6470          182           6287 
 373           6576          182           6393 
 374           6462          182           6279 
 375           6676.5        182           6493 
 376           10636.5       182           10453 
 377           29283         182           29100 
 378           32188         182           32005 
 379           31868         182           31685 
 380           25613.5       182           25430 
 381           8951          182           8768 
 382           7709.5        182           7526 
 383           17398.5       182           17215 
 384           158743        182           158560 
 385           237773        182           237590 
 386           240386        182           240203 
 387           223128        182           222945 
 388           64813         182           64630 
 389           10314         182           10131 
 390           9602          182           9419 
 391           10223         182           10040 
 392           10147         182           9964 
 393           10087         182           9904 
 394           8909          182           8726 
 395           8424          182           8241 
 396           8649          182           8466 
 397           8535          182           8352 
 398           8771.5        182           8588 
 399           12965         182           12782 
 400           36033         182           35850 
 401           44783         182           44600 
 402           44733.5       182           44550 
 403           38493.5       182           38310 
 404           15308         182           15125 
 405           9983          182           9800 
 406           10114         182           9931 
 407           16968.5       182           16785 
 408           35358.5       182           35175 
 409           36505         182           36322 
 410           36352         182           36169 
 411           26870         182           26687 
 412           11454.5       182           11271 
 413           10587         182           10404 
 414           10667         182           10484 
 415           11589         182           11406 
 416           23238         182           23055 
 417           55880         182           55697 
 418           69094         182           68911 
 419           68670         182           68487 
 420           52762.5       182           52579 
 421           21127         182           20944 
 422           13040         182           12857 
 423           15199         182           15016 
 424           16082.5       182           15899 
 425           22152.5       182           21969 
 426           105871        182           105688 
 427           142960        182           142777 
 428           142626        182           142443 
 429           132574.5      182           132391 
 430           38164.5       182           37981 
 431           13437         182           13254 
 432           23329         182           23146 
 433           55004         182           54821 
 434           57340         182           57157 
 435           57232         182           57049 
 436           41386         182           41203 
 437           14676         182           14493 
 438           12769         182           12586 
 439           12906.5       182           12723 
 440           12848         182           12665 
 441           12816.5       182           12633 
 442           13163.5       182           12980 
 443           13107.5       182           12924 
 444           12995.5       182           12812 
 445           13035         182           12852 
 446           13117         182           12934 
 447           13371.5       182           13188 
 448           14977.5       182           14794 
 449           39398.5       182           39215 
 450           51431         182           51248 
 451           51486         182           51303 
 452           49736.5       182           49553 
 453           32604         182           32421 
 454           60955         182           60772 
 455           68993.5       182           68810 
 456           67763         182           67580 
 457           51646.5       182           51463 
 458           18196         182           18013 
 459           14444         182           14261 
 460           30492.5       182           30309 
 461           106288        182           106105 
 462           163818.5      182           163635 
 463           165876        182           165693 
 464           143981        182           143798 
 465           58963         182           58780 
 466           15916.5       182           15733 
 467           13656.5       182           13473 
 468           13316.5       182           13133 
 469           13669.5       182           13486 
 470           13687         182           13504 
 471           14688.5       182           14505 
 472           31437         182           31254 
 473           47933         182           47750 
 474           48435.5       182           48252 
 475           47683         182           47500 
 476           25687         182           25504 
 477           14322         182           14139 
 478           14178.5       182           13995 
 479           13596         182           13413 
 480           13784         182           13601 
 481           14088.5       182           13905 
 482           18195         182           18012 
 483           48166         182           47983 
 484           96070         182           95887 
 485           114730.5      182           114547 
 486           106835        182           106652 
 487           76198         182           76015 
 488           23836.5       182           23653 
 489           14228.5       182           14045 
 490           14664.5       182           14481 
 491           26318         182           26135 
 492           33535.5       182           33352 
 493           33857         182           33674 
 494           32327         182           32144 
 495           17847         182           17664 
 496           14016         182           13833 
 497           13759         182           13576 
 498           13583         182           13400 
 499           13821.5       182           13638 
 500           13873         182           13690 
 501           14123         182           13940 
 502           16267         182           16084 
 503           17091         182           16908 
 504           16455         182           16272 
 505           15989         182           15806 
 506           13986         182           13803 
 507           13501         182           13318 
 508           13490         182           13307 
 509           14043         182           13860 
 510           13920.5       182           13737 
 511           13386         182           13203 
 512           13637         182           13454 
 513           13311         182           13128 
 514           13322         182           13139 
 515           13230         182           13047 
 516           13319         182           13136 
 517           13408         182           13225 
 518           13067         182           12884 
 519           13345         182           13162 
 520           13176.5       182           12993 
 521           12824         182           12641 
 522           12792         182           12609 
 523           12719         182           12536 
 524           12441         182           12258 
 525           12583         182           12400 
 526           12844         182           12661 
 527           12987         182           12804 
 528           12614         182           12431 
 529           12768         182           12585 
 530           12426         182           12243 
 531           12258         182           12075 
 532           12197.5       182           12014 
 533           12288         182           12105 
 534           15278.99      182           15096 
 535           45475.98      182           45293 
 536           68181.98      182           67999 
 537           69897.48      182           69714 
 538           66026.99      182           65844 
 539           28190.99      182           28008 
 540           13532.5       182           13349 
 541           12378         182           12195 
 542           14627.5       182           14444 
 543           21146         182           20963 
 544           22548.98      182           22366 
 545           22495.48      182           22312 
 546           18424         182           18241 
 547           12487         182           12304 
 548           11703.51      182           11520 
 549           11265         182           11082 
 550           11111         182           10928 
 551           10836         182           10653 
 552           10844         182           10661 
 553           11201.5       182           11018 
 554           11245.99      182           11063 
 555           11158.5       182           10975 
 556           10635.99      182           10453 
 557           10469         182           10286 
 558           10310         182           10127 
 559           10000.5       182           9817 
 560           9708.506      182           9525 
 561           9582.007      182           9399 
 562           9610.5        182           9427 
 563           9374.506      182           9191 
 564           9270.996      182           9088 
 565           9225.998      182           9043 
 566           9230.995      182           9048 
 567           9298.01       182           9115 
 568           9071.994      182           8889 
 569           9046.002      182           8863 
 570           9002.001      182           8819 
 571           8773.502      182           8590 
 572           8578.996      182           8396 
 573           8629          182           8446 
 574           12202.5       182           12019 
 575           16198         182           16015 
 576           17133         182           16950 
 577           16359.51      182           16176 
 578           12054         182           11871 
 579           8760.994      182           8578 
 580           8115.996      182           7933 
 581           7788.001      182           7605 
 582           7779.997      182           7597 
 583           7496.004      182           7313 
 584           8064.004      182           7881 
 585           8025.006      182           7842 
 586           7829.002      182           7646 
 587           7303.003      182           7120 
 588           6461.507      182           6278 
 589           6277.502      182           6094 
 590           6363.498      182           6180 
 591           6071.997      182           5889 
 592           6272.501      182           6089 
 593           6406.998      182           6224 
 594           6232.998      182           6050 
 595           6203.998      182           6021 
 596           5675.002      182           5492 
 597           5292.506      182           5109 
 598           5146.502      182           4963 
 599           4923.994      182           4741 
 600           4760.996      182           4578 
 601           4734          182           4551 
 602           4590.498      182           4407 
 603           4417.996      182           4235 
 604           4395.502      182           4212 
 605           4075.497      182           3892 
 606           4140.496      182           3957 
 607           3985.507      182           3802 
 608           3591.995      182           3409 
 609           3647.998      182           3465 
 610           3399          182           3216 
 611           3346          182           3163 
 612           3231.999      182           3049 
 613           3109.002      182           2926 
 614           3558.501      182           3375 
 615           3664.501      182           3481 
 616           3556.5        182           3373 
 617           3139.998      182           2957 
 618           2717.497      182           2534 
 619           2345.499      182           2162 
 620           2225.999      182           2043 
 621           2012.004      182           1829 
 622           1966          182           1783 
 623           1788.999      182           1606 
 624           1865.999      182           1683 
 625           1681.999      182           1499 
 626           1663.999      182           1481 
 627           1582.499      182           1399 
 628           1399.001      182           1216 
 629           1506.497      182           1323 
 630           1438.998      182           1256 
 631           1259.002      182           1076 
 632           1272.995      182           1090 
 633           1315.501      182           1132 
 634           1315.999      182           1133 
 635           1166.002      182           983 
 636           1296.999      182           1114 
 637           1227.498      182           1044 
 638           1154.003      182           971 
 639           1075.002      182           892 
 640           1078.504      182           895 
 641           1028.496      182           845 
 642           1067.997      182           885 
 643           999.0016      182           816 
 644           933.998       182           751 
 645           1093.994      182           911 
 646           1056          182           873 
 647           934.5015      182           751 
 648           974.9954      182           792 
 649           1006.001      182           823 
 650           1031.999      182           849 
 651           986.9991      182           804 
 652           1016.5        182           833 
 653           925.4995      182           742 
 654           1028.501      182           845 
 655           1016.003      182           833 
 656           1082.999      182           900 
 657           1128.999      182           946 
 658           1314.998      182           1132 
 659           1858.998      182           1676 
 660           4443.003      182           4260 
 661           6947.498      182           6764 
 662           7929          182           7746 
 663           7190.998      182           7008 
 664           4450.5        182           4267 
 665           2420.001      182           2237 
 666           1648.5        182           1465 
 667           1417          182           1234 
 668           1236.001      182           1053 
 669           1101.002      182           918 
 670           1022.499      182           839 
 671           942.4958      182           759 
 672           881.9987      182           699 
 673           724.5011      182           541 
 674           799.9983      182           617 
 675           705.5031      182           522 
 676           798.0001      182           615 
 677           640.0004      182           457 
 678           558.9966      182           376 
 679           603.9974      182           421 
 680           597.001       182           414 
 681           628.0011      182           445 
 682           498.9994      182           316 
 683           524.9962      182           342 
 684           509.4988      182           326 
 685           508.0005      182           325 
 686           560.9968      182           378 
 687           594.9983      182           412 
 688           462.9974      182           280 
 689           503.4985      182           320 
 690           450.4998      182           267 
 691           520.9982      182           338 
 692           507.0032      182           324 
 693           583.9957      182           401 
 694           458.9995      182           276 
 695           443.0002      182           260 
 696           481.5012      182           298 
 697           419.9984      182           237 
 698           419.0002      182           236 
 699           392.5         182           209 
 700           430.9995      182           248 
 701           414.9996      182           232 
 702           452.9988      182           270 
 703           770.5023      182           587 
 704           1451.998      182           1269 
 705           1876.5        182           1693 
 706           2064.002      182           1881 
 707           1546.005      182           1363 
 708           969.9996      182           787 
 709           558.0011      182           375 
 710           290.4982      182           107 
 711           323.0002      182           140 
 712           502.501       182           319 
 713           392.498       182           209 
 714           372.4982      182           189 
 715           401.499       182           218 
 716           338.9984      182           156 
 717           382.9979      182           200 
 718           493.0013      182           310 
 719           3463.995      182           3281 
 720           16728.99      182           16546 
 721           28438         182           28255 
 722           33053.5       182           32870 
 723           29967         182           29784 
 724           15298.51      182           15115 
 725           4348.997      182           4166 
 726           1138.995      182           956 
 727           426.9998      182           244 
 728           411.4984      182           228 
 729           373.0009      182           190 
 730           296.0001      182           113 
 731           277           182           94 
 732           294.9968      182           112 
 733           352.4983      182           169 
 734           307.0021      182           124 
 735           355.0024      182           172 
 736           311.5018      182           128 
 737           358.4988      182           175 
 738           302.9982      182           120 
 739           176.9966      182          -6 
 740           38.99774      182          -144 
